anti-K0 	111	0
-213	211	0
anti-K0 	111	0
321	-211	0
113	111	0
anti-K0 	111	0
anti-K0 	111	0
113	111	0
213	-211	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
213	-211	0
K0 	111	0
anti-K0 	111	0
213	-321	0
anti-K0 	111	0
anti-K0 	111	0
113	111	0
K0 	111	0
213	-211	0
213	-211	0
213	-211	0
213	-211	0
213	-211	0
113	111	0
K0 	111	0
113	111	0
K0 	111	0
K0 	111	0
-213	321	0
K0 	111	0
K0 	111	0
K0 	111	0
-213	211	0
213	-211	0
K0 	111	0
213	-211	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
-213	211	0
anti-K0 	111	0
-213	211	0
213	-211	0
anti-K0 	111	0
213	-211	0
K0 	111	0
213	-321	0
K0 	111	0
anti-K0 	111	0
113	111	0
K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	321	-211
anti-K0 	111	0
213	-211	0
K0 	111	0
K0 	111	0
113	111	0
K0 	111	0
113	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
-213	211	0
K0 	111	0
K0 	111	0
113	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
213	-211	0
-213	211	0
213	-211	0
-213	211	0
213	-211	0
213	-211	0
K0 	111	0
anti-K0 	111	0
213	-211	0
anti-K0 	111	0
K0 	111	0
213	-211	0
K0 	111	0
113	111	0
anti-K0 	111	0
213	-321	0
K0 	111	0
-313	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
-213	211	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
-213	211	0
anti-K0 	111	0
213	-211	0
anti-K0 	111	0
211	-211	0
K0 	111	0
213	-211	0
K0 	111	0
213	-211	0
anti-K0 	111	0
K0 	111	0
213	-211	0
anti-K0 	111	0
K0 	111	0
213	-211	0
213	-211	0
-213	211	0
213	-211	0
anti-K0 	111	0
anti-K0 	111	0
-213	211	0
K0 	111	0
321	-211	111
213	-211	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
-213	211	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
213	-321	0
-321	211	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
213	-211	0
anti-K0 	111	0
-313	111	0
113	111	0
-213	321	0
113	111	0
-213	211	0
213	-211	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
213	-211	0
-213	321	0
K0 	111	0
anti-K0 	111	0
-213	211	0
213	-211	0
anti-K0 	111	0
-213	211	0
313	111	0
K0 	111	0
213	-211	0
213	-211	0
213	-211	0
K0 	111	0
K0 	111	0
213	-211	0
K0 	111	0
213	-211	0
anti-K0 	111	0
111	111	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
113	111	0
213	-211	0
K0 	111	0
K0 	111	0
213	-211	0
anti-K0 	111	0
213	-211	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
213	-211	0
113	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
-213	321	0
213	-211	0
213	-211	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
213	-211	0
213	-211	0
K0 	111	0
213	-211	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
-213	211	0
113	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
213	-211	0
K0 	111	0
anti-K0 	111	0
113	111	0
K0 	111	0
K0 	111	0
213	-321	0
213	-211	0
213	-211	0
111	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
113	111	0
113	111	0
213	-211	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
113	111	0
K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
213	-211	0
113	111	0
-321	211	111
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
213	-211	0
K0 	111	0
K0 	111	0
K0 	111	0
213	-211	0
213	-211	0
213	-211	0
-213	211	0
213	-211	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
-213	321	0
anti-K0 	111	0
anti-K0 	111	0
213	-211	0
-213	211	0
anti-K0 	111	0
-213	211	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
213	-211	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
213	-211	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
213	-211	0
213	-211	0
K0 	111	0
K0 	111	0
213	-211	0
anti-K0 	111	0
213	-211	0
anti-K0 	111	0
213	-211	0
-313	111	0
113	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
-213	211	0
K0 	111	0
K0 	111	0
113	111	0
K0 	111	0
213	-211	0
K0 	111	0
K0 	111	0
313	111	0
-213	321	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
113	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
113	111	0
K0 	111	0
K0 	111	0
-213	321	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
213	-211	0
anti-K0 	111	0
K0 	111	0
213	-321	0
anti-K0 	111	0
111	111	0
anti-K0 	111	0
-321	211	111
213	-211	0
anti-K0 	111	0
213	-211	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
213	-211	0
K0 	111	0
213	-211	0
K0 	111	0
K0 	111	0
K0 	111	0
-213	211	0
anti-K0 	111	0
K0 	111	0
213	-321	0
K0 	111	0
anti-K0 	111	0
213	-211	0
K0 	111	0
213	-211	0
K0 	111	0
anti-K0 	111	0
213	-321	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
213	-211	0
anti-K0 	111	0
213	-211	0
-313	111	0
K0 	111	0
-213	211	0
anti-K0 	111	0
-213	211	0
anti-K0 	111	0
K0 	111	0
-213	211	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
113	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
-213	211	0
213	-211	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
113	111	0
213	-211	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
-213	211	0
113	111	0
213	-211	0
213	-321	0
-213	211	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
213	-211	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
213	-211	0
K0 	111	0
K0 	111	0
213	-211	0
K0 	111	0
K0 	111	0
213	-211	0
213	-211	0
-213	211	0
213	-211	0
-213	211	0
-213	211	0
K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
113	anti-K0 	0
K0 	111	0
K0 	111	0
213	-211	0
213	-211	0
213	-211	0
anti-K0 	111	0
213	-321	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
-213	211	0
K0 	111	0
213	-211	0
113	111	0
anti-K0 	111	0
anti-K0 	111	0
213	-211	0
-213	211	0
-213	211	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
113	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
213	-211	0
213	-211	0
113	111	0
-213	211	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
-321	211	0
-213	211	0
anti-K0 	111	0
213	-211	0
213	-211	0
113	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
313	111	0
K0 	111	0
-213	211	0
-213	321	0
anti-K0 	111	0
321	-211	0
anti-K0 	111	0
anti-K0 	111	0
213	-211	0
anti-K0 	111	0
anti-K0 	111	0
213	-211	0
K0 	111	0
anti-K0 	111	0
-213	211	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
213	-211	0
K0 	111	0
213	-211	0
anti-K0 	111	0
213	-211	0
K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
-213	211	0
113	111	0
113	111	0
K0 	111	0
213	-211	0
anti-K0 	111	0
113	anti-K0 	0
213	-211	0
-321	211	0
K0 	111	0
K0 	111	0
113	111	0
K0 	111	0
-213	211	0
213	-211	0
-323	211	0
anti-K0 	111	0
-213	211	0
anti-K0 	111	0
-213	211	0
213	-211	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
113	111	0
K0 	111	0
K0 	111	0
213	-211	0
20213	-321	0
213	-211	0
K0 	111	0
-213	211	0
213	-211	0
-213	321	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
213	-211	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
113	111	0
113	111	0
213	-211	0
K0 	111	0
K0 	111	0
-213	211	0
K0 	111	0
anti-K0 	111	0
213	-211	0
K0 	111	0
K0 	111	0
K0 	111	0
213	-211	0
K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
-213	211	0
213	-211	0
113	111	0
K0 	111	0
213	-211	0
K0 	111	0
113	111	0
K0 	111	0
K0 	111	0
213	-211	0
213	-211	0
213	-211	0
-213	211	0
113	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
113	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
213	-211	0
K0 	111	0
anti-K0 	111	0
213	-211	0
K0 	111	0
anti-K0 	111	0
-213	211	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
213	-211	0
213	-211	0
anti-K0 	111	0
113	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
213	-211	0
113	111	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
213	-211	0
213	-211	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
113	111	0
213	-321	0
K0 	111	0
K0 	111	0
K0 	111	0
113	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
213	-211	0
113	111	0
K0 	111	0
213	-211	0
K0 	111	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
113	111	0
213	-211	0
K0 	111	0
213	-211	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
K0 	111	0
111	111	0
anti-K0 	111	0
213	-211	0
anti-K0 	111	0
K0 	111	0
113	111	0
anti-K0 	111	0
313	111	0
K0 	111	0
K0 	111	0
213	-211	0
K0 	111	0
K0 	111	0
anti-K0 	111	0
K0 	111	0
213	-211	0
113	111	0
113	111	0
111	111	0
213	-211	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
213	-211	0
anti-K0 	111	0
K0 	111	0
113	111	0
113	111	0
213	-211	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
213	-211	0
K0 	111	0
anti-K0 	111	0
anti-K0 	111	0
K0 	111	0
anti-K0 	111	0
